repeat,partition_seed,outer_fold,family,target,kernel,mean_inner_cv_score,std_inner_cv_score
6,6,4,IND,TD,"[""RBF"", null]",0.9915986304339974,0.31379132368478335
6,6,4,IND,TD,"[""Matern"", 0.5]",0.855683914758905,0.24142143882703113
6,6,4,IND,TD,"[""Matern"", 1.5]",0.9259903118396302,0.28814854974185933
6,6,4,IND,TD,"[""Matern"", 2.5]",0.9499494691990471,0.29824742800848114
7,7,0,ICM,__joint__,"[""RBF"", null]",0.9839485809540743,0.19660349568191118
7,7,0,ICM,__joint__,"[""Matern"", 0.5]",0.9839470271769816,0.19660324947312927
7,7,0,ICM,__joint__,"[""Matern"", 1.5]",0.9839579502513901,0.19658167893809478
7,7,0,ICM,__joint__,"[""Matern"", 2.5]",0.9839433245862775,0.19661386960911936
7,7,0,IND,V,"[""RBF"", null]",0.9673291071564452,0.349370175717866
7,7,0,IND,V,"[""Matern"", 0.5]",0.8219438667980252,0.3137238890379577
7,7,0,IND,V,"[""Matern"", 1.5]",0.8580645558548895,0.3039496687690923
7,7,0,IND,V,"[""Matern"", 2.5]",0.8914010064738871,0.331863252280212
7,7,0,IND,TD,"[""RBF"", null]",1.2194678205167786,0.3208579474438314
7,7,0,IND,TD,"[""Matern"", 0.5]",0.8954063065697196,0.1417545140991978
7,7,0,IND,TD,"[""Matern"", 1.5]",1.0936170992646645,0.3459181730798856
7,7,0,IND,TD,"[""Matern"", 2.5]",1.1675137239019402,0.30923497152714907
7,7,1,ICM,__joint__,"[""RBF"", null]",0.9354673547095796,0.2805575527349312
7,7,1,ICM,__joint__,"[""Matern"", 0.5]",0.9354589240540534,0.28053127684236107
7,7,1,ICM,__joint__,"[""Matern"", 1.5]",0.9354370657539611,0.28048923580802293
7,7,1,ICM,__joint__,"[""Matern"", 2.5]",0.9877623812127098,0.31227126105633013
7,7,1,IND,V,"[""RBF"", null]",0.978971363364904,0.22342053770026368
7,7,1,IND,V,"[""Matern"", 0.5]",0.819148431730315,0.28203007888706166
7,7,1,IND,V,"[""Matern"", 1.5]",0.8933451190480778,0.29347165267575315
7,7,1,IND,V,"[""Matern"", 2.5]",0.9147843159934735,0.28437720441701697
7,7,1,IND,TD,"[""RBF"", null]",0.897797818890637,0.2021987217188029
7,7,1,IND,TD,"[""Matern"", 0.5]",0.7487728197665949,0.2695046373685556
7,7,1,IND,TD,"[""Matern"", 1.5]",0.7677676835806296,0.20779237200695375
7,7,1,IND,TD,"[""Matern"", 2.5]",0.7946394778458703,0.21327866638755216
7,7,2,ICM,__joint__,"[""RBF"", null]",0.755496638891261,0.11566399152649394
7,7,2,ICM,__joint__,"[""Matern"", 0.5]",0.7554923935231275,0.11566800483845237
7,7,2,ICM,__joint__,"[""Matern"", 1.5]",0.75549387148345,0.11566222071655854
7,7,2,ICM,__joint__,"[""Matern"", 2.5]",0.7554983031404243,0.11567160834403344
7,7,2,IND,V,"[""RBF"", null]",0.9629701459778758,0.10136490068369228
7,7,2,IND,V,"[""Matern"", 0.5]",0.7722095732844515,0.09068266062765208
7,7,2,IND,V,"[""Matern"", 1.5]",0.8616898889868454,0.06655378226644657
7,7,2,IND,V,"[""Matern"", 2.5]",0.9056253124924979,0.08758089302707298
7,7,2,IND,TD,"[""RBF"", null]",0.5222323697233475,0.1494954466249279
7,7,2,IND,TD,"[""Matern"", 0.5]",0.6338244595180879,0.18161494515224405
7,7,2,IND,TD,"[""Matern"", 1.5]",0.5564902210319228,0.18727531805970987
7,7,2,IND,TD,"[""Matern"", 2.5]",0.5383499842988936,0.17846073175469196
7,7,3,ICM,__joint__,"[""RBF"", null]",0.9469674052560547,0.1219685424618829
7,7,3,ICM,__joint__,"[""Matern"", 0.5]",0.9538296741165955,0.11880014048260772
7,7,3,ICM,__joint__,"[""Matern"", 1.5]",0.9469353697581344,0.12195469218589639
7,7,3,ICM,__joint__,"[""Matern"", 2.5]",0.9469528198370281,0.12197238950441906
