repeat,partition_seed,calibration_method,observation_id,outer_fold,T_true,T_mean,T_std,T_lower,T_upper,P_true,P_mean,P_std,P_lower,P_upper,TD_true,TD_mean,TD_std,TD_lower,TD_upper
0,0,uncalibrated,92,0,312.07,311.21883557388753,0.836377603856896,309.84311683868253,312.59455430909253,81.77,78.18261701763777,118.95559743093798,-117.48192886281973,273.84716289809523,5.71,4.42866072904033,1.423239538590448,2.087640011969093,6.7696814461115675
0,0,uncalibrated,93,0,306.81,306.8587118807563,1.0370928638396895,305.1528459221841,308.5645778393285,673.45,809.387711378813,151.18014113598613,560.7185079082509,1058.056914849375,7.15,7.0570933334182895,1.639952395576506,4.3596116875265185,9.75457497931006
0,0,uncalibrated,94,3,309.96,309.9997399561596,1.3212618138767187,307.826457669452,312.1730222428672,659.22,514.5688148568113,283.33306699670453,48.52739197199759,980.610237741625,4.79,4.938267105001756,1.7997327396712315,1.9779701806102228,7.89856402939329
0,0,uncalibrated,95,0,314.36,313.33665373159243,1.2911541049606032,311.2128942190947,315.46041324409015,139.42,27.587780443734005,186.873994532989,-279.7925872467624,334.96814813423043,5.84,3.286813573011565,1.6308022715583692,0.6043825417980826,5.969244604225047
0,0,uncalibrated,96,4,310.35,311.18105304447977,1.1963675513747314,309.213203538434,313.1489025505255,94.55,100.16808312572107,195.35735131693653,-221.1661647395748,421.50233099101695,3.98,5.6353179839296965,1.1334591743313585,3.770943550029341,7.499692417830052
0,0,uncalibrated,97,3,313.16,313.42985057630733,1.3640075236090485,311.18625785390986,315.6734432987048,15.39,110.84505637826408,333.6189974372949,-437.9093615763842,659.5994743329123,0.53,1.5844668988490493,1.8239084564322043,-1.415595540940922,4.584529338639021
0,0,uncalibrated,98,3,306.83,306.7288084072364,1.123614171765439,304.8806275615139,308.57698925295887,1407.27,1501.274416420793,200.024886322754,1172.2627566722551,1830.2860761693307,10.88,11.348840939799858,1.5054957607820776,8.872520777317394,13.825161102282323
0,0,uncalibrated,99,1,309.81,309.51729270316275,1.208470800148149,307.52953512447414,311.50505028185137,533.37,759.5787612756893,436.7985134548777,41.109142172422594,1478.0483803789562,7.02,4.714067484050232,1.9090686381232673,1.5739290105338695,7.854205957566594
0,0,holdout,0,2,312.33,313.35909654871585,1.5985156775052516,311.297425312715,315.4207677847167,84.06,80.69752803421954,256.366184763567,-358.75910388700385,520.154159955443,0.31,2.6832321833808743,1.4636678465167732,0.7539161556968095,4.612548211064939
0,0,holdout,1,2,311.68,308.9002611686034,1.4677533005406724,307.00723953368725,310.7932828035195,204.84,298.8547622933459,323.58652129515247,-255.82932334227934,853.5388479289711,9.2,7.28764728027518,1.7536225187676766,4.976131016515124,9.599163544035235
0,0,holdout,2,0,301.44,305.3343848872364,1.822620833358969,301.0033528219361,309.6654169525367,220.66,684.6022130883789,423.089164046738,373.75481204599333,995.4496141307645,4.44,7.7747965292936545,2.201498151374247,3.4691097181522457,12.080483340435062
0,0,holdout,3,1,314.31,312.6070499925431,1.8505467491489735,306.52064366314437,318.6934563219419,12.81,190.22739157073926,433.85228860475235,-215.86424221245733,596.3190253539358,2.87,1.9777530489882302,3.092727722415716,-4.334013205626401,8.289519303602862
0,0,holdout,4,2,306.89,305.0690462170039,1.4238610710703237,303.23263419077443,306.9054582432334,422.12,513.6178090516407,317.7005617939091,-30.97670903658502,1058.2123271398664,12.1,8.971475745933896,2.5571910609845148,5.60074534999819,12.342206141869601
0,0,holdout,5,2,307.84,308.1207837065446,1.0426663041438897,306.7760142067824,309.4655532063068,2201.12,1705.787534063663,298.413582899356,1194.2542825880869,2217.3207855392393,5.77,5.914560403750834,1.4399485997051655,4.016509613700522,7.812611193801147
0,0,holdout,6,1,314.22,312.30503317604445,1.9066245288637862,306.0341882997396,318.5758780523493,87.66,181.48363588604468,461.5949252217396,-250.57548251150524,613.5427542835946,3.45,1.465074521380001,3.170007519186039,-5.004407528868073,7.934556571628075
